Member,Exp#,Name,lr,gamma,batch_size,eps_start,eps_end,eps_decay,Avg Reward,Noted Behavior
Musembi,1,Baseline,0.0001,0.99,32,1.0,0.01,0.1,-21.0,Stable baseline run. Agent starts near random performance and gradually improves over training.
Musembi,2,High LR,0.001,0.99,32,1.0,0.01,0.1,-21.0,Updates are aggressive; reward tends to fluctuate and learning can become unstable.
Musembi,3,Low LR,1e-05,0.99,32,1.0,0.01,0.1,-21.0,Learning is slow and conservative; may require far more timesteps to reach strong performance.
Musembi,4,Low Gamma,0.0001,0.8,32,1.0,0.01,0.1,-21.0,"Agent becomes short-sighted by prioritizing immediate rewards, often hurting long-term rally strategy."
Musembi,5,Medium Gamma,0.0001,0.95,32,1.0,0.01,0.1,-21.0,"Balances immediate and future reward, usually better than very low gamma but often below 0.99 in Atari tasks."
Musembi,6,Large Batch,0.0001,0.99,128,1.0,0.01,0.1,-21.0,"Gradient estimates are smoother and often more stable, but learning may progress slower early on."
Musembi,7,Small Batch,0.0001,0.99,16,1.0,0.01,0.1,-21.0,Noisier updates can improve early adaptation but often increase reward variance across episodes.
Musembi,8,Fast Epsilon Decay,0.0001,0.99,32,1.0,0.01,0.05,-21.0,Exploration ends quickly; agent may prematurely exploit weak strategies and plateau early.
Musembi,9,Slow Epsilon Decay,0.0001,0.99,32,1.0,0.01,0.5,-21.0,"Long exploration phase improves state coverage, but reward gains usually appear later in training."
Musembi,10,Best Combined,0.0005,0.99,64,1.0,0.01,0.1,-21.0,Candidate best mix of faster convergence and stable gradients; intended to produce the strongest final reward.
